timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-21.0;42.0;-63.0
100;-68.0;51.0;-119.0
200;-42.5;51.0;-93.5
300;-139.0;36.0;-175.0
400;-197.0;48.0;-245.0
500;-251.0;57.0;-308.0
600;-396.0;55.0;-451.0
700;-283.0;58.0;-341.0
800;-287.0;54.0;-341.0
900;-204.5;54.0;-258.5
1000;-285.0;56.0;-341.0
1100;-285.0;56.0;-341.0
1200;-186.5;72.0;-258.5
1300;-285.0;56.0;-341.0
1400;-301.0;40.0;-341.0
1500;-175.0;56.0;-231.0
1600;-230.0;56.0;-286.0
1700;-231.0;55.0;-286.0
1800;-224.0;62.0;-286.0
1900;-232.0;54.0;-286.0
2000;-232.0;54.0;-286.0
2100;-234.0;52.0;-286.0
2200;-234.0;52.0;-286.0
2300;-124.0;52.0;-176.0
2400;-125.0;51.0;-176.0
2500;-617.0;54.0;-671.0
2600;-174.0;57.0;-231.0
2700;-515.0;54.0;-569.0
2800;-139.0;52.0;-191.0
2900;177.0;53.0;124.0
3000;-42.5;54.0;-96.5
3100;-135.0;56.0;-191.0
3200;-135.0;56.0;-191.0
3300;-135.0;56.0;-191.0
3400;-135.0;56.0;-191.0
3500;-101.5;58.0;-159.5
3600;-51.0;77.0;-128.0
3700;-46.0;82.0;-128.0
3800;-101.0;27.0;-128.0
3900;-66.0;62.0;-128.0
4000;-46.0;82.0;-128.0
4100;-101.0;27.0;-128.0
4200;-61.0;67.0;-128.0
4300;-46.0;82.0;-128.0
4400;-61.0;67.0;-128.0
4500;-44.5;52.0;-96.5
4600;-13.0;52.0;-65.0
4700;2.0;67.0;-65.0
4800;-151.0;89.5;-240.5
4900;-6.0;67.0;-73.0
5000;-480.0;67.0;-547.0
5100;46.5;89.5;-43.0
5200;-457.5;89.5;-547.0
5300;39.0;82.0;-43.0
5400;1.5;44.5;-43.0
5500;145.5;44.5;101.0
5600;96.0;67.0;29.0
5700;96.0;67.0;29.0
5800;96.0;67.0;29.0
5900;81.0;52.0;29.0
6000;-12.0;67.0;-79.0
6100;-19.5;59.5;-79.0
6200;96.0;67.0;29.0
6300;118.5;89.5;29.0
6400;-12.0;67.0;-79.0
